@Id;Admin Leve;Boundary;Hub Name;Id;Is In Muni;Is In Prov;Is In Town;Name;PT HubName;Type;Area neigh;Density N;Fid;Geometry;Hub Dist;Pop Neigh;PT HubDist
relation/5802301;7;administrative;SCBD;relation/5802301;Setiabudi;DKI Jakarta;Jakarta Selatan;Karet Semanggi;Otorita Asahan;boundary;0,9;3687,493;171;Point;2,449856224;3319;0,170075472
relation/5802302;7;administrative;SCBD;relation/5802302;Kebayoran Baru;DKI Jakarta;Jakarta Selatan;Pulo;Simpang Dharmawangsa VIII;boundary;1,27;5351,735;172;Point;6,283143673;6797;0,413512115
relation/5802303;7;administrative;SCBD;relation/5802303;Pasar Rebo;DKI Jakarta;Jakarta Timur;Gedong;Flyover Raya Bogor;boundary;2,63;16987,8512;173;Point;11,448050272;44678;0,738641421
relation/5802304;7;administrative;SCBD;relation/5802304;Cakung;DKI Jakarta;Jakarta Timur;Cakung Barat;Halte AEON Mall Jakarta Garden City;boundary;6,12;12184,4129;174;Point;12,268641930;74569;2,071149533
relation/5802305;7;administrative;SCBD;relation/5802305;Tanjung Priok;DKI Jakarta;Jakarta Utara;Papanggo;;boundary;2,8;17797,8049;175;Point;9,446039702;49834;1,461534028
relation/5802306;7;administrative;SCBD;relation/5802306;Pesanggrahan;DKI Jakarta;Jakarta Selatan;Ulujami;Cipulir;boundary;1,71;30104,9853;176;Point;8,115182092;51480;0,260440514
relation/5802307;7;administrative;SCBD;relation/5802307;Johar Baru;DKI Jakarta;Jakarta Pusat;Kampung Rawa;Galur;boundary;0,3;91079,3756;177;Point;3,954631304;27324;0,568067919
relation/5802308;7;administrative;SCBD;relation/5802308;Mampang Prapatan;DKI Jakarta;Jakarta Selatan;Tegal Parang;Duren Tiga;boundary;1,06;38367,4242;178;Point;5,050651129;40669;0,423525368
relation/5802309;7;administrative;SCBD;relation/5802309;Makasar;DKI Jakarta;Jakarta Timur;Makasar;RS. Dik Pusdikes;boundary;1,61;26868,712;179;Point;9,605700347;43259;0,938442420
relation/5802310;7;administrative;SCBD;relation/5802310;Kebon Jeruk;DKI Jakarta;Jakarta Barat;Sukabumi Selatan;;boundary;1,57;30123,024;180;Point;6,603870190;47293;0,598456167
relation/5802311;7;administrative;SCBD;relation/5802311;Kebayoran Lama;DKI Jakarta;Jakarta Selatan;Kebayoran Lama Selatan;;boundary;2,57;19666,0446;181;Point;7,821350421;50542;0,205410245
relation/5802313;7;administrative;SCBD;relation/5802313;Pasar Minggu;DKI Jakarta;Jakarta Selatan;Pejaten Timur;Masjid At Taqwa 2;boundary;2,68;26990,6284;182;Point;8,775269002;72335;0,453672254
relation/5802314;7;administrative;SCBD;relation/5802314;Cakung;DKI Jakarta;Jakarta Timur;Rawa Terate;Pulo Gadung;boundary;3,3;9549,0909;183;Point;10,332228633;31512;1,187478336
relation/5802315;7;administrative;SCBD;relation/5802315;Pulo Gadung;DKI Jakarta;Jakarta Timur;Jatinegara Kaum;Layur;boundary;1,23;25201,2961;184;Point;8,050450449;30998;0,727351409
relation/5802316;7;administrative;SCBD;relation/5802316;Pasar Minggu;DKI Jakarta;Jakarta Selatan;Jati Padang;Gang Haji Ja'anih;boundary;2,5;18691,5963;185;Point;9,421480728;46729;0,206337591
relation/5802317;7;administrative;SCBD;relation/5802317;Grogol Petamburan;DKI Jakarta;Jakarta Barat;Jelambar;Grogol;boundary;1,44;25372,0496;186;Point;6,781524449;36536;0,359129831
relation/5802318;7;administrative;SCBD;relation/5802318;Cakung;DKI Jakarta;Jakarta Timur;Cakung Timur;;boundary;9,81;7620,7038;187;Point;14,430570718;74759;0,452922013
relation/5802319;7;administrative;SCBD;relation/5802319;Gambir;DKI Jakarta;Jakarta Pusat;Petojo Utara;;boundary;1,12;20023,2475;188;Point;4,430682949;22426;0,490530221
relation/5802320;7;administrative;SCBD;relation/5802320;Cilandak;DKI Jakarta;Jakarta Selatan;Cilandak Barat;Fatmawati 1;boundary;6,05;10443,7645;189;Point;10,272890470;63185;0,253494438
relation/5802321;7;administrative;SCBD;relation/5802321;Kebon Jeruk;DKI Jakarta;Jakarta Barat;Kedoya Utara;;boundary;3,15;17927,4414;190;Point;8,388771595;56471;0,392960770
relation/5802322;7;administrative;SCBD;relation/5802322;Kepulauan Seribu Utara;DKI Jakarta;Kepulauan Seribu;Pulau Harapan;;boundary;;;191;Point;66,866157592;;53,043783403
relation/5802323;7;administrative;SCBD;relation/5802323;Kebayoran Baru;DKI Jakarta;Jakarta Selatan;Rawa Barat;Rawa Barat;boundary;0,69;9643,2698;192;Point;4,056912377;6654;0,481892914
relation/5802324;7;administrative;SCBD;relation/5802324;Kembangan;DKI Jakarta;Jakarta Barat;Meruya Utara;Haji Sa'aba Raya;boundary;4,33;12594,7145;193;Point;9,995101380;54535;1,913228389
relation/5802325;7;administrative;SCBD;relation/5802325;Menteng;DKI Jakarta;Jakarta Pusat;Gondangdia;Halte SPBU / Yayasan Kanker Indonesia;boundary;1,46;3356,1926;194;Point;1,259725968;4900;0,119811956
relation/5802326;7;administrative;SCBD;relation/5802326;Ciracas;DKI Jakarta;Jakarta Timur;Kelapa Dua Wetan;Ciracas;boundary;3,37;17390,3105;195;Point;16,390522482;58605;1,877883643
relation/5802327;7;administrative;SCBD;relation/5802327;Jagakarsa;DKI Jakarta;Jakarta Selatan;Tanjung Barat;Halte Fly Over Raya Bogor;boundary;3,65;13636,1891;196;Point;11,639526420;49772;0,709307975
relation/5802328;7;administrative;SCBD;relation/5802328;Penjaringan;DKI Jakarta;Jakarta Utara;Penjagalan;Jembatan Tiga;boundary;;;197;Point;8,858411941;;0,629814059
relation/5802329;7;administrative;SCBD;relation/5802329;Sawah Besar;DKI Jakarta;Jakarta Pusat;Kartini;;boundary;0,57;49343,3099;198;Point;5,553227595;28126;0,261685346
relation/5802330;7;administrative;SCBD;relation/5802330;Duren Sawit;DKI Jakarta;Jakarta Timur;Malaka Jaya;;boundary;0,99;38672,3335;199;Point;11,980639143;38286;0,726668737
relation/5802331;7;administrative;SCBD;relation/5802331;Senen;DKI Jakarta;Jakarta Pusat;Bungur;;boundary;0,63;36505,4278;200;Point;4,098934389;22998;0,341122154
relation/5802332;7;administrative;SCBD;relation/5802332;Duren Sawit;DKI Jakarta;Jakarta Timur;Malaka Sari;SMKN 48;boundary;1,38;24415,1053;201;Point;11,277300545;33693;0,750704855
relation/5802333;7;administrative;SCBD;relation/5802333;Cilincing;DKI Jakarta;Jakarta Utara;Rorotan;Stop Point (Green Garden Stop Point) Angkot #28;boundary;10,64;5074,081;202;Point;15,437083778;53988;1,126420611
relation/5802334;7;administrative;SCBD;relation/5802334;Tanah Abang;DKI Jakarta;Jakarta Pusat;Gelora;Senayan JCC;boundary;2,59;1519,7005;203;Point;3,336751897;3936;0,719572205
relation/5802335;7;administrative;SCBD;relation/5802335;Tambora;DKI Jakarta;Jakarta Barat;Tanah Sereal;;boundary;0,62;52418,3856;204;Point;5,819863931;32499;0,228013887
relation/5802336;7;administrative;SCBD;relation/5802336;Pulo Gadung;DKI Jakarta;Jakarta Timur;Pulo Gadung;Bermis;boundary;1,92;22261,0504;205;Point;8,076911498;42741;0,509986247
relation/5802337;7;administrative;SCBD;relation/5802337;Ciracas;DKI Jakarta;Jakarta Timur;Cibubur;Ciracas;boundary;4,5;18297,0974;206;Point;18,044794968;82337;3,620031759
relation/5802338;7;administrative;SCBD;relation/5802338;Cilandak;DKI Jakarta;Jakarta Selatan;Lebak Bulus;Gereja Baptis Indonesia Cilandak;boundary;4,11;11119,8347;207;Point;12,151620028;45703;0,117939151
relation/5802339;7;administrative;SCBD;relation/5802339;Senen;DKI Jakarta;Jakarta Pusat;Paseban;;boundary;0,71;41898,8937;208;Point;2,860203359;29748;0,380256394
relation/5802340;7;administrative;SCBD;relation/5802340;Duren Sawit;DKI Jakarta;Jakarta Timur;Pondok Kopi;Jalan Arabika III;boundary;2,06;21604,3689;209;Point;12,892030362;44505;0,175637843
relation/5802341;7;administrative;SCBD;relation/5802341;Pancoran;DKI Jakarta;Jakarta Selatan;Pancoran;Halte Pancoran 1;boundary;1,22;20036,9458;210;Point;5,085685281;24445;0,220182233
relation/5802342;7;administrative;SCBD;relation/5802342;Senen;DKI Jakarta;Jakarta Pusat;Kenari;Salemba UI;boundary;0,92;12961,7486;211;Point;2,258237108;11925;0,180595833
relation/5802343;7;administrative;SCBD;relation/5802343;Koja;DKI Jakarta;Jakarta Utara;Rawabadak Selatan;Pelumpang Pertamina;boundary;;;212;Point;11,116315104;;0,633948690
relation/5802344;7;administrative;SCBD;relation/5802344;Pasar Minggu;DKI Jakarta;Jakarta Selatan;Pasar Minggu;Grand Pasar Minggu;boundary;2,79;10904,8816;213;Point;9,657634753;30425;0,369579284
relation/5802345;7;administrative;SCBD;relation/5802345;Cilincing;DKI Jakarta;Jakarta Utara;Suka Pura;Pegangsaan Dua;boundary;;;214;Point;12,500374090;;1,607169133
relation/5802346;7;administrative;SCBD;relation/5802346;Kemayoran;DKI Jakarta;Jakarta Pusat;Utan Panjang;;boundary;0,54;70241,5548;215;Point;5,054161220;37930;0,758041107
